source,type,target,sType,tType
https://catalogue.cioos.ca/dataset/ca-cioos_184b2f81-d87f-4615-a026-15b87930d15c.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/e809b6a5-fd36-4cad-b1b8-372a1cb519a6.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/e809b6a5-fd36-4cad-b1b8-372a1cb519a6.jsonld,creator,https://gleaner.io/xid/genid/cggj3cjk59mc73f1k5u0,Dataset,Organization
https://catalogue.cioos.ca/dataset/e809b6a5-fd36-4cad-b1b8-372a1cb519a6.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/ef4a12ce-c447-4458-b6ca-03e0a0bf1f70,publisher,https://catalogue.cioos.ca/organization/b9a157db-ac56-4a28-aee9-899a35f463c6,Dataset,Organization
https://catalogue.cioos.ca/dataset/ef4a12ce-c447-4458-b6ca-03e0a0bf1f70,creator,https://gleaner.io/xid/genid/cggj39rk59mc73f1jmlg,Dataset,Organization
https://catalogue.cioos.ca/dataset/664cd012-43f5-4acd-8b3e-c447961827a6.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/664cd012-43f5-4acd-8b3e-c447961827a6.jsonld,creator,https://gleaner.io/xid/genid/cggj38rk59mc73f1jh5g,Dataset,Organization
https://catalogue.cioos.ca/dataset/664cd012-43f5-4acd-8b3e-c447961827a6.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/db58b054-b2ba-44f7-8d8a-39f7b9db4cb4.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/db58b054-b2ba-44f7-8d8a-39f7b9db4cb4.jsonld,creator,https://gleaner.io/xid/genid/cggj2urk59mc73f1i0s0,Dataset,Organization
https://catalogue.cioos.ca/dataset/db58b054-b2ba-44f7-8d8a-39f7b9db4cb4.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/0d9cd912-9190-4bd8-b5dc-fb7af1819631.jsonld,publisher,https://catalogue.cioos.ca/organization/b9a157db-ac56-4a28-aee9-899a35f463c6,Dataset,Organization
https://catalogue.cioos.ca/dataset/0d9cd912-9190-4bd8-b5dc-fb7af1819631.jsonld,creator,https://gleaner.io/xid/genid/cggj49rk59mc73f1ooqg,Dataset,Organization
https://catalogue.cioos.ca/dataset/0d9cd912-9190-4bd8-b5dc-fb7af1819631.jsonld,provider,https://ogsl.ca,Dataset,Organization
https://catalogue.cioosatlantic.ca/dataset/ca-cioos_d5faadca-f0b6-46f2-9277-d1e76a8e313c,publisher,https://catalogue.cioos.ca/organization/c1eca542-1caf-4604-a2d5-708682e08793,Dataset,Organization
https://catalogue.cioosatlantic.ca/dataset/ca-cioos_d5faadca-f0b6-46f2-9277-d1e76a8e313c,creator,https://gleaner.io/xid/genid/cggj37jk59mc73f1jbbg,Dataset,Person
https://catalogue.cioosatlantic.ca/dataset/ca-cioos_d5faadca-f0b6-46f2-9277-d1e76a8e313c,creator,https://gleaner.io/xid/genid/cggj37jk59mc73f1jbd0,Dataset,Person
https://catalogue.cioos.ca/dataset/e0d2adc8-cdcd-4041-9f0f-14e269e4a1a8.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/e0d2adc8-cdcd-4041-9f0f-14e269e4a1a8.jsonld,creator,https://gleaner.io/xid/genid/cggj3grk59mc73f1kqn0,Dataset,Organization
https://catalogue.cioos.ca/dataset/e0d2adc8-cdcd-4041-9f0f-14e269e4a1a8.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/ca-cioos_f56d69c3-eb83-4be6-8cc3-f58f0742363e.jsonld,publisher,https://catalogue.cioos.ca/organization/b9a157db-ac56-4a28-aee9-899a35f463c6,Dataset,Organization
https://catalogue.cioos.ca/dataset/ca-cioos_f56d69c3-eb83-4be6-8cc3-f58f0742363e.jsonld,creator,https://gleaner.io/xid/genid/cggj3grk59mc73f1kr9g,Dataset,Person
https://catalogue.cioos.ca/dataset/ca-cioos_f56d69c3-eb83-4be6-8cc3-f58f0742363e.jsonld,creator,https://gleaner.io/xid/genid/cggj3grk59mc73f1krb0,Dataset,Person
https://catalogue.cioos.ca/dataset/ca-cioos_f56d69c3-eb83-4be6-8cc3-f58f0742363e.jsonld,provider,https://ogsl.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/f620dc4f-d330-4a6c-8349-56e68a8d86fe.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/f620dc4f-d330-4a6c-8349-56e68a8d86fe.jsonld,creator,https://gleaner.io/xid/genid/cggj3erk59mc73f1khvg,Dataset,Organization
https://catalogue.cioos.ca/dataset/f620dc4f-d330-4a6c-8349-56e68a8d86fe.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/33c6f7c9-ba7e-478f-ac7e-84de494e0106.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/33c6f7c9-ba7e-478f-ac7e-84de494e0106.jsonld,creator,https://gleaner.io/xid/genid/cggj3ark59mc73f1jrig,Dataset,Organization
https://catalogue.cioos.ca/dataset/33c6f7c9-ba7e-478f-ac7e-84de494e0106.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/bd55f54f-eeab-463c-9bd7-996a6da7959a.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/bd55f54f-eeab-463c-9bd7-996a6da7959a.jsonld,creator,https://gleaner.io/xid/genid/cggj3k3k59mc73f1la6g,Dataset,Organization
https://catalogue.cioos.ca/dataset/bd55f54f-eeab-463c-9bd7-996a6da7959a.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/ab3684f1-7d4e-4439-a500-494d87b4c108.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/ab3684f1-7d4e-4439-a500-494d87b4c108.jsonld,creator,https://gleaner.io/xid/genid/cggj30rk59mc73f1ib40,Dataset,Organization
https://catalogue.cioos.ca/dataset/ab3684f1-7d4e-4439-a500-494d87b4c108.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/be03e7bd-7550-4f7c-8d6f-1c6c62b52a7e.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/be03e7bd-7550-4f7c-8d6f-1c6c62b52a7e.jsonld,creator,https://gleaner.io/xid/genid/cggj3trk59mc73f1mr3g,Dataset,Organization
https://catalogue.cioos.ca/dataset/be03e7bd-7550-4f7c-8d6f-1c6c62b52a7e.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/2466226c-6170-43f1-a7e8-fdb524916fb5.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/2466226c-6170-43f1-a7e8-fdb524916fb5.jsonld,creator,https://gleaner.io/xid/genid/cggj2ork59mc73f1h52g,Dataset,Organization
https://catalogue.cioos.ca/dataset/2466226c-6170-43f1-a7e8-fdb524916fb5.jsonld,provider,https://cioospacific.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/b6169c91-7732-4ec1-8969-6f205772b16f.jsonld,publisher,https://catalogue.cioos.ca/organization/b9a157db-ac56-4a28-aee9-899a35f463c6,Dataset,Organization
https://catalogue.cioos.ca/dataset/b6169c91-7732-4ec1-8969-6f205772b16f.jsonld,creator,https://gleaner.io/xid/genid/cggj3v3k59mc73f1n0p0,Dataset,Organization
https://catalogue.cioos.ca/dataset/b6169c91-7732-4ec1-8969-6f205772b16f.jsonld,provider,https://ogsl.ca,Dataset,Organization
https://catalogue.cioos.ca/dataset/0345b31b-8625-4282-be3e-194ffd44e611.jsonld,publisher,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,Dataset,Organization
https://catalogue.cioos.ca/dataset/0345b31b-8625-4282-be3e-194ffd44e611.jsonld,creator,https://gleaner.io/xid/genid/cggj33jk59mc73f1inpg,Dataset,Organization
