s,type
http://portete.invemar.org.co/chm/api/oih/findid/expert/01ffe2249c4b0ec637ceb12a73e3b5a04976d71cbe8630555a4775d331cc535b,https://schema.org/Person
http://portete.invemar.org.co/chm/api/oih/findid/expert/01ffe2249c4b0ec637ceb12a73e3b5a04976d71cbe8630555a4775d331cc535b,https://schema.org/Country
http://portete.invemar.org.co/chm/api/oih/findid/expert/026433e9bae256055368b04ab58dd9781bfb1baadde598bf25f3343c92185315,https://schema.org/Person
http://portete.invemar.org.co/chm/api/oih/findid/expert/026433e9bae256055368b04ab58dd9781bfb1baadde598bf25f3343c92185315,https://schema.org/Country
http://portete.invemar.org.co/chm/api/oih/findid/expert/02d50e13a2340a43593b46c50ca1c610b0a42034f5a459c1184dbaaf6981b110,https://schema.org/Person
http://portete.invemar.org.co/chm/api/oih/findid/expert/02d50e13a2340a43593b46c50ca1c610b0a42034f5a459c1184dbaaf6981b110,https://schema.org/Country
http://portete.invemar.org.co/chm/api/oih/findid/expert/02dcbacf3a44681538967f7f6186273191b320d5779ce137f2f533cf92caa285,https://schema.org/Person
http://portete.invemar.org.co/chm/api/oih/findid/expert/02dcbacf3a44681538967f7f6186273191b320d5779ce137f2f533cf92caa285,https://schema.org/Country
http://portete.invemar.org.co/chm/api/oih/findid/expert/03405781efc5602ad87c98a0bf2619bea052d01dc9c713d4a0bfb1166b08cb15,https://schema.org/Person
http://portete.invemar.org.co/chm/api/oih/findid/expert/03405781efc5602ad87c98a0bf2619bea052d01dc9c713d4a0bfb1166b08cb15,https://schema.org/Country
http://portete.invemar.org.co/chm/api/oih/findid/expert/0374c50a4740be6416410c1d6bd7cef84da468cd6dec375a93ba07b4ff2a85a9,https://schema.org/Person
http://portete.invemar.org.co/chm/api/oih/findid/expert/0374c50a4740be6416410c1d6bd7cef84da468cd6dec375a93ba07b4ff2a85a9,https://schema.org/Country
http://portete.invemar.org.co/chm/api/oih/findid/expert/0375afd58e0a3238365ead27f71210814f310d55fa168a5a0c9cb3caa6fd799b,https://schema.org/Person
