source,target,type
https://catalogue.cioos.ca/dataset/33c6f7c9-ba7e-478f-ac7e-84de494e0106.jsonld,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,publisher
https://catalogue.cioos.ca/dataset/33c6f7c9-ba7e-478f-ac7e-84de494e0106.jsonld,https://gleaner.io/xid/genid/cggj3ark59mc73f1jrig,creator
https://catalogue.cioos.ca/dataset/33c6f7c9-ba7e-478f-ac7e-84de494e0106.jsonld,https://cioospacific.ca,provider
https://catalogue.cioos.ca/dataset/bd55f54f-eeab-463c-9bd7-996a6da7959a.jsonld,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,publisher
https://catalogue.cioos.ca/dataset/bd55f54f-eeab-463c-9bd7-996a6da7959a.jsonld,https://gleaner.io/xid/genid/cggj3k3k59mc73f1la6g,creator
https://catalogue.cioos.ca/dataset/bd55f54f-eeab-463c-9bd7-996a6da7959a.jsonld,https://cioospacific.ca,provider
https://catalogue.cioos.ca/dataset/ab3684f1-7d4e-4439-a500-494d87b4c108.jsonld,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,publisher
https://catalogue.cioos.ca/dataset/ab3684f1-7d4e-4439-a500-494d87b4c108.jsonld,https://gleaner.io/xid/genid/cggj30rk59mc73f1ib40,creator
https://catalogue.cioos.ca/dataset/ab3684f1-7d4e-4439-a500-494d87b4c108.jsonld,https://cioospacific.ca,provider
https://catalogue.cioos.ca/dataset/be03e7bd-7550-4f7c-8d6f-1c6c62b52a7e.jsonld,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,publisher
https://catalogue.cioos.ca/dataset/be03e7bd-7550-4f7c-8d6f-1c6c62b52a7e.jsonld,https://gleaner.io/xid/genid/cggj3trk59mc73f1mr3g,creator
https://catalogue.cioos.ca/dataset/be03e7bd-7550-4f7c-8d6f-1c6c62b52a7e.jsonld,https://cioospacific.ca,provider
https://catalogue.cioos.ca/dataset/2466226c-6170-43f1-a7e8-fdb524916fb5.jsonld,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,publisher
https://catalogue.cioos.ca/dataset/2466226c-6170-43f1-a7e8-fdb524916fb5.jsonld,https://gleaner.io/xid/genid/cggj2ork59mc73f1h52g,creator
https://catalogue.cioos.ca/dataset/2466226c-6170-43f1-a7e8-fdb524916fb5.jsonld,https://cioospacific.ca,provider
https://catalogue.cioos.ca/dataset/b6169c91-7732-4ec1-8969-6f205772b16f.jsonld,https://catalogue.cioos.ca/organization/b9a157db-ac56-4a28-aee9-899a35f463c6,publisher
https://catalogue.cioos.ca/dataset/b6169c91-7732-4ec1-8969-6f205772b16f.jsonld,https://gleaner.io/xid/genid/cggj3v3k59mc73f1n0p0,creator
https://catalogue.cioos.ca/dataset/b6169c91-7732-4ec1-8969-6f205772b16f.jsonld,https://ogsl.ca,provider
https://catalogue.cioos.ca/dataset/0345b31b-8625-4282-be3e-194ffd44e611.jsonld,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,publisher
https://catalogue.cioos.ca/dataset/0345b31b-8625-4282-be3e-194ffd44e611.jsonld,https://gleaner.io/xid/genid/cggj33jk59mc73f1inpg,creator
https://catalogue.cioos.ca/dataset/0345b31b-8625-4282-be3e-194ffd44e611.jsonld,https://cioospacific.ca,provider
https://catalogue.ogsl.ca/dataset/ca-cioos_8e435445-d7b4-4724-aa71-c98e4d41f9e7,https://catalogue.cioos.ca/organization/b9a157db-ac56-4a28-aee9-899a35f463c6,publisher
https://catalogue.ogsl.ca/dataset/ca-cioos_8e435445-d7b4-4724-aa71-c98e4d41f9e7,https://gleaner.io/xid/genid/cggj2r3k59mc73f1hfkg,creator
https://catalogue.ogsl.ca/dataset/ca-cioos_8e435445-d7b4-4724-aa71-c98e4d41f9e7,https://gleaner.io/xid/genid/cggj2r3k59mc73f1hfi0,creator
https://catalogue.cioos.ca/dataset/ca-cioos_66ad87d2-bb96-4515-a907-6367ca6c0a2b1.jsonld,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,publisher
https://catalogue.cioos.ca/dataset/ca-cioos_66ad87d2-bb96-4515-a907-6367ca6c0a2b1.jsonld,https://gleaner.io/xid/genid/cggj4a3k59mc73f1oq60,creator
https://catalogue.cioos.ca/dataset/ca-cioos_66ad87d2-bb96-4515-a907-6367ca6c0a2b1.jsonld,https://cioospacific.ca,provider
https://catalogue.cioos.ca/dataset/6621bdab-8a5f-4dda-af31-c8122b586af7.jsonld,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,publisher
https://catalogue.cioos.ca/dataset/6621bdab-8a5f-4dda-af31-c8122b586af7.jsonld,https://gleaner.io/xid/genid/cggj3fbk59mc73f1kkd0,creator
https://catalogue.cioos.ca/dataset/6621bdab-8a5f-4dda-af31-c8122b586af7.jsonld,https://cioospacific.ca,provider
https://catalogue.cioos.ca/dataset/ca-cioos_94ded8f9-4ee7-407d-80eb-bf217ce7d260.jsonld,https://catalogue.cioos.ca/organization/f6f187f7-19f2-4273-a45a-5d9406204873,publisher
https://catalogue.cioos.ca/dataset/ca-cioos_94ded8f9-4ee7-407d-80eb-bf217ce7d260.jsonld,https://gleaner.io/xid/genid/cggj2ojk59mc73f1h3fg,creator
https://catalogue.cioos.ca/dataset/ca-cioos_94ded8f9-4ee7-407d-80eb-bf217ce7d260.jsonld,https://gleaner.io/xid/genid/cggj2ojk59mc73f1h3g0,creator
https://catalogue.cioos.ca/dataset/ca-cioos_94ded8f9-4ee7-407d-80eb-bf217ce7d260.jsonld,https://gleaner.io/xid/genid/cggj2ojk59mc73f1h3gg,creator
